Nombre del Planeta,Estrella Huesped,Numero de Estrellas,Numero de Planetas,Metodo de Descubrimiento,Año de Descubrimiento,Periodo Orbital (Dias),Semieje Mayor (UA),Radio del Planeta (Radios Terrestres),MPX Sen(I)(Masas Terrestres),Excentricidad,Temperatura de Equilibrio,Tipo Espectral,Temperatura Estelar efectiva,Radio Estelar (Radios Solares),Masa Estelar (Masas Solares),Metalicidad Estelar Corregido
Kepler-1372 b,Kepler-1372,1,1,Transit,2016,1.31155557,0.024000,1.27,2.15000,0.000000,1655,,5677.00,0.97,0.98,0.05
Kepler-1373 b,Kepler-1373,1,1,Transit,2016,1.29123275,0.025980,1.16,1.65000,0.000000,1887,,6299.00,1.33,1.22,0.03
Kepler-1374 b,Kepler-1374,1,1,Transit,2016,10.65276707,0.091800,2.29,5.86000,0.000000,737,,5323.00,0.81,0.85,-0.13
Kepler-1375 b,Kepler-1375,1,1,Transit,2016,3.3004192,0.047100,1.74,3.68000,0.000000,1543,,6704.00,1.78,1.47,0.09
Kepler-1376 b,Kepler-1376,1,1,Transit,2016,5.30880656,0.059800,1.05,1.16000,0.000000,1042,,5659.00,0.97,0.98,0.07
Kepler-1377 b,Kepler-1377,1,1,Transit,2016,0.74092842,0.015300,1.25,2.10000,0.000000,1873,,5218.00,0.82,0.86,0.05
Kepler-1378 b,Kepler-1378,1,1,Transit,2016,11.95398936,0.088500,2.2,5.48000,0.000000,525,,4407.00,0.67,0.70,0.03
Kepler-1379 b,Kepler-1379,1,1,Transit,2016,0.88184115,0.017100,1.3,2.24000,0.000000,1564,,5188.00,0.79,0.83,-0.04
Kepler-138 b,Kepler-138,1,4,Transit,2014,10.3134,0.075300,0.64,0.07000,0.020000,452,M1 V,3841.00,0.54,0.54,-0.18
Kepler-138 c,Kepler-138,1,4,Transit,2014,13.7815,0.091300,1.51,2.30000,0.017000,410,M1 V,3841.00,0.54,0.54,-0.18
Kepler-138 d,Kepler-138,1,4,Transit,2014,23.0923,0.128800,1.51,2.10000,0.010000,345,M1 V,3841.00,0.54,0.54,-0.18
Kepler-138 e,Kepler-138,1,4,Transit Timing Variations,2022,38.23,0.180300,797,0.43000,0.112000,292,M1 V,3841.00,0.54,0.54,-0.18
Kepler-1380 b,Kepler-1380,1,1,Transit,2016,10.3108245,0.091700,1.43,2.63000,0.000000,786,,5570.00,0.94,0.96,0.1
Kepler-1381 b,Kepler-1381,1,1,Transit,2016,25.3842686,0.172800,2.25,5.69000,0.000000,649,,5747.00,0.94,0.96,-0.1
Kepler-1382 b,Kepler-1382,1,1,Transit,2016,16.3583055,0.140230,1.88,4.19000,0.000000,959,,6161.00,1.72,1.36,0.3
Kepler-1383 b,Kepler-1383,1,1,Transit,2016,13.9093583,0.113970,1.41,2.57000,0.000000,928,,6370.00,1.44,1.26,0.03
Kepler-1384 b,Kepler-1384,1,1,Transit,2016,15.36262753,0.112600,1.94,4.42000,0.000000,608,,4919.00,0.74,0.78,-0.06
Kepler-1385 b,Kepler-1385,1,1,Transit,2016,2.88879862,0.042620,0.85,0.54300,0.000000,1423,,5732.00,1.29,1.15,0.41
Kepler-1386 b,Kepler-1386,1,1,Transit,2016,6.73972381,0.068000,1.24,2.07000,0.000000,1011,,5733.00,1.03,1.02,0.11
Kepler-1387 b,Kepler-1387,1,1,Transit,2016,2.27952666,0.031000,0.93,0.74900,0.000000,1123,,5046.00,0.77,0.82,0.02
Kepler-1388 b,Kepler-1388,1,4,Transit,2016,12.2854603,0.088200,2.59,7.22000,0.000000,434,,4098.00,0.61,0.63,0.02
Kepler-1388 c,Kepler-1388,1,4,Transit,2016,5.53608151,0.051900,2.26,5.73000,0.000000,566,,4098.00,0.61,0.63,0.02
Kepler-1388 d,Kepler-1388,1,4,Transit,2016,20.9568158,0.126000,2.86,8.55000,0.000000,363,,4098.00,0.61,0.63,0.02
Kepler-1388 e,Kepler-1388,1,4,Transit,2016,37.6327084,0.186100,2.46,6.62000,0.000000,299,,4098.00,0.61,0.63,0.02
Kepler-1389 b,Kepler-1389,1,1,Transit,2016,99.2530951,0.382490,1.77,3.78000,0.000000,300,,5078.00,0.74,0.81,-0.14
Kepler-139 b,Kepler-139,1,4,Transit,2014,15.771044,0.127000,2.94,5.28790,0.000000,752,,5594.00,1.30,1.08,0.35
Kepler-139 c,Kepler-139,1,4,Transit,2014,157.072878,0.586000,3.38,23.25580,0.000000,350,,5594.00,1.30,1.08,0.35
Kepler-139 d,Kepler-139,1,4,Transit,2023,7.30569992,0.075553,1695,4.65808,0.000000,972,,5622.00,1.05,1.08,0.35
Kepler-139 e,Kepler-139,1,4,Radial Velocity,2023,2047.635373,3.235796,13.6,426.11582,0.013121,,,5622.00,1.05,1.08,0.35
Kepler-1390 b,Kepler-1390,1,1,Transit,2016,6.48021673,0.066200,1.18,1.76000,0.000000,934,,5753.00,0.98,0.98,-0.01
Kepler-1391 b,Kepler-1391,1,1,Transit,2016,54.4092333,0.300450,1.68,3.46000,0.000000,513,,5840.00,1.10,1.03,0.04
Kepler-1392 b,Kepler-1392,1,1,Transit,2016,15.1410397,0.118900,1.96,4.50000,0.000000,714,,5479.00,0.85,0.88,-0.11
Kepler-1393 b,Kepler-1393,1,1,Transit,2016,2.44357812,0.033700,0.8,0.43700,0.000000,1249,,5697.00,0.92,0.95,-0.09
Kepler-1394 b,Kepler-1394,1,1,Transit,2016,3.93766373,0.054740,1.39,2.51000,0.000000,1947,,6481.00,2.55,1.64,0.06
Kepler-1395 b,Kepler-1395,1,1,Transit,2016,3.78470649,0.049740,0.8,0.43700,0.000000,1311,,6138.00,1.23,1.17,0.12
Kepler-1396 b,Kepler-1396,1,1,Transit,2016,18.2206421,0.140600,2.07,4.94000,0.000000,786,,6195.00,1.27,1.18,0.04
Kepler-1397 b,Kepler-1397,1,1,Transit,2016,47.449955,0.258610,1.72,3.61000,0.000000,551,,6026.00,1.12,1.09,0
Kepler-1398 b,Kepler-1398,1,2,Transit,2016,2.78815679,0.039090,0.9,0.66600,0.000000,1510,,6126.00,1.18,1.13,0.01
Kepler-1398 c,Kepler-1398,1,2,Transit,2016,4.13827595,0.050870,1.03,1.08000,0.000000,1324,,6126.00,1.18,1.13,0.01
Kepler-1399 b,Kepler-1399,1,1,Transit,2016,1.63865306,0.027600,1.25,2.10000,0.000000,1610,,5735.00,0.96,0.97,-0.03
Kepler-14 b,Kepler-14,2,1,Transit,2011,6.790123,0.077100,12733,2669.66000,0.035000,1605,,6395.00,2.05,1.51,0.12
Kepler-140 b,Kepler-140,1,2,Transit,2014,3.25427,0.045000,1.61,3.22000,0.000000,1301,,6077.00,1.29,1.04,-39
Kepler-140 c,Kepler-140,1,2,Transit,2014,91.353282,0.414000,1.8,3.89000,0.000000,428,,6077.00,1.29,1.04,-39
Kepler-1400 b,Kepler-1400,1,1,Transit,2016,9.06689421,0.077100,1.62,3.26000,0.000000,725,,5044.00,0.78,0.83,0.04
Kepler-1401 b,Kepler-1401,1,1,Transit,2016,11.20066445,0.097500,1.68,3.46000,0.000000,808,,5964.00,1.10,1.07,0.04
Kepler-1402 b,Kepler-1402,1,1,Transit,2016,2.03387914,0.032200,0.76,0.36300,0.000000,1789,,5416.00,0.87,0.90,0.03
Kepler-1403 b,Kepler-1403,1,1,Transit,2016,5.19492202,0.064000,2.14,5.22000,0.000000,1238,,6060.00,1.15,1.11,0.03
Kepler-1404 b,Kepler-1404,1,1,Transit,2016,15.9314739,0.114300,2.01,4.70000,0.000000,596,,5261.00,0.80,0.84,-0.09
Kepler-1405 b,Kepler-1405,1,1,Transit,2016,28.2274184,0.177800,3.96,14.90000,0.000000,565,,5925.00,1.07,1.05,0.03
Kepler-1406 b,Kepler-1406,1,1,Transit,2016,11.62905828,0.098700,1.1,1.37000,0.000000,854,,5892.00,1.12,1.05,0.04
Kepler-1407 b,Kepler-1407,1,1,Transit,2016,20.0711504,0.150200,2.25,5.69000,0.000000,826,,6010.00,1.15,1.10,0.05
Kepler-1408 b,Kepler-1408,1,1,Transit,2016,2.99793191,0.042180,0.89,0.64000,0.000000,1616,,6170.00,1.35,1.21,0
Kepler-1409 b,Kepler-1409,1,1,Transit,2016,0.76486493,0.015530,1.04,1.12000,0.000000,1733,,5160.00,0.79,0.83,-0.03
Kepler-141 b,Kepler-141,1,2,Transit,2014,3.107675,0.039000,0.69,0.25700,0.000000,968,,4910.00,0.79,0.88,264
Kepler-141 c,Kepler-141,1,2,Transit,2014,7.010606,0.067000,1.41,2.57000,0.000000,738,,4910.00,0.79,0.88,264
Kepler-1410 b,Kepler-1410,1,1,Transit,2016,60.866168,0.254300,1.78,3.82000,0.000000,290,,4092.00,0.60,0.63,0.01
Kepler-1411 b,Kepler-1411,1,1,Transit,2016,86.1150888,0.400100,2.82,8.35000,0.000000,441,,5664.00,0.92,0.95,-0.04
Kepler-1412 b,Kepler-1412,1,1,Transit,2016,3.6146051,0.046080,0.83,0.49800,0.000000,1397,,5880.00,1.27,1.06,0.04
Kepler-1413 b,Kepler-1413,1,1,Transit,2016,13.1829642,0.106600,1.82,3.97000,0.000000,661,,5196.00,0.80,0.84,-0.05
Kepler-1414 b,Kepler-1414,1,1,Transit,2016,3.51576315,0.042600,1.23,2.04000,0.000000,1033,,4951.00,0.75,0.80,-0.02
Kepler-1415 b,Kepler-1415,1,1,Transit,2016,0.63642408,0.014160,1.29,2.21000,0.000000,1846,,5267.00,0.84,0.89,0.12
Kepler-1416 b,Kepler-1416,1,1,Transit,2016,1.49514952,0.025700,0.88,0.61500,0.000000,1870,,6019.00,1.15,1.09,0.03
Kepler-1417 b,Kepler-1417,1,1,Transit,2016,20.3505213,0.140620,1,0.97200,0.000000,695,,5839.00,1.02,1.02,0.02
Kepler-1418 b,Kepler-1418,1,1,Transit,2016,22.4764425,0.131000,1.66,3.39000,0.000000,419,,4770.00,0.72,0.77,0
Kepler-1419 b,Kepler-1419,1,1,Transit,2016,42.5215895,0.239100,2.86,8.55000,0.000000,510,,5796.00,1.01,1.01,0.04
Kepler-142 b,Kepler-142,1,3,Transit,2014,2.024152,0.032000,1.99,4.62000,0.000000,1597,,5790.00,1.27,0.98,0.05
Kepler-142 c,Kepler-142,1,3,Transit,2014,4.761702,0.057000,2.86,8.55000,0.000000,1201,,5790.00,1.27,0.98,0.05
Kepler-142 d,Kepler-142,1,3,Transit,2014,41.809118,0.242000,2.16,5.31000,0.000000,582,,5790.00,1.27,0.98,0.05
Kepler-1420 b,Kepler-1420,1,1,Transit,2016,6.69960006,0.067100,1.28,2.18000,0.000000,806,,5187.00,0.79,0.82,-0.1
Kepler-1421 b,Kepler-1421,1,1,Transit,2016,6.9131112,0.075760,0.93,0.74900,0.000000,1209,,6335.00,1.42,1.25,0.05
Kepler-1422 b,Kepler-1422,1,1,Transit,2016,18.6051942,0.149900,2.02,4.74000,0.000000,833,,6194.00,1.23,1.15,0
Kepler-1423 b,Kepler-1423,1,1,Transit,2016,23.955378,0.158600,1.06,1.20000,0.000000,741,,4939.00,0.75,0.79,-0.02
Kepler-1424 b,Kepler-1424,1,1,Transit,2016,29.6091744,0.190680,1.16,1.65000,0.000000,629,,5838.00,1.07,1.02,0.01
Kepler-1425 b,Kepler-1425,1,1,Transit,2016,14.4541302,0.114350,0.94,0.77900,0.000000,676,,5718.00,0.95,0.97,-0.03
Kepler-1426 b,Kepler-1426,1,1,Transit,2016,14.2563227,0.118700,1.56,3.05000,0.000000,797,,5831.00,1.02,1.02,0.03
Kepler-1427 b,Kepler-1427,1,1,Transit,2016,0.96897238,0.019700,1.1,1.37000,0.000000,1844,,5793.00,1.01,1.01,0.06
Kepler-1428 b,Kepler-1428,1,1,Transit,2016,10.67607169,0.110510,1.64,3.33000,0.000000,1049,,6184.00,1.36,1.28,0.35
Kepler-1429 b,Kepler-1429,1,1,Transit,2016,4.48487493,0.055000,1.29,2.21000,0.000000,1199,,5902.00,1.07,1.05,0.04
Kepler-143 b,Kepler-143,1,2,Transit,2014,16.007583,0.127000,2.41,6.39000,0.000000,838,,5848.00,1.36,0.98,-0.01
Kepler-143 c,Kepler-143,1,2,Transit,2014,27.082511,0.181000,3.37,11.30000,0.000000,703,,5848.00,1.36,0.98,-0.01
Kepler-1430 b,Kepler-1430,1,1,Transit,2016,2.46050993,0.030400,1.18,1.76000,0.000000,969,,4796.00,0.72,0.77,-0.03
Kepler-1431 b,Kepler-1431,1,1,Transit,2016,5.86601526,0.064800,1.47,2.76000,0.000000,1064,,5806.00,1.03,1.03,0.07
Kepler-1432 b,Kepler-1432,1,1,Transit,2016,23.9109011,0.169600,2.22,5.56000,0.000000,709,,6031.00,1.13,1.09,0.02
Kepler-1433 b,Kepler-1433,1,1,Transit,2016,4.13592271,0.051600,1.56,3.05000,0.000000,1226,,6097.00,1.19,1.14,0.07
Kepler-1434 b,Kepler-1434,1,1,Transit,2016,8.05333618,0.091700,1.11,1.41000,0.000000,1320,,6291.00,2.04,1.47,0.19
Kepler-1435 b,Kepler-1435,1,1,Transit,2016,4.45343281,0.054560,0.86,0.56600,0.000000,1331,,6356.00,1.32,1.21,-0.03
Kepler-1436 b,Kepler-1436,1,1,Transit,2016,9.705716,0.090700,1.31,2.27000,0.000000,1001,,5972.00,1.09,1.06,-0.01
