Nombre del Planeta,Estrella Huesped,Numero de Estrellas,Numero de Planetas,Metodo de Descubrimiento,Año de Descubrimiento,Periodo Orbital (Dias),Semieje Mayor (UA),Radio del Planeta (Radios Terrestres),MPX Sen(I)(Masas Terrestres),Excentricidad,Temperatura de Equilibrio,Tipo Espectral,Temperatura Estelar efectiva,Radio Estelar (Radios Solares),Masa Estelar (Masas Solares),Metalicidad Estelar Corregido
HR 858 c,HR 858,2,3,Transit,2019,5.973865,0.068700,1979,3.80000,0.000000,1309,F6 V,6354.00,1.26,1.20,25
HR 858 d,HR 858,2,3,Transit,2019,11.230511,0.104600,2001,7.10000,0.000000,1061,F6 V,6354.00,1.26,1.20,25
HR 8799 b,HR 8799,1,4,Imaging,2008,170000.0,68.000000,13,2000.00000,,1200,A5 V,7204.58,1.49,1.50,-0.47
HR 8799 c,HR 8799,1,4,Imaging,2008,69000.0,38.000000,13,3000.00000,0.500000,1200,A5 V,7204.58,1.49,1.50,-0.47
HR 8799 d,HR 8799,1,4,Imaging,2008,37000.0,24.000000,13,3000.00000,0.600000,1300,A5 V,7204.58,1.49,1.50,-0.47
HR 8799 e,HR 8799,1,4,Imaging,2010,20815.6,16.400000,13115,3178.30000,0.150000,1150,A5,7400.00,1.49,1.51,-0.5
HS Psc b,HS Psc,1,1,Radial Velocity,2024,3.986,0.043500,13.6,464.02947,0.270000,,K7 V,4203.00,0.65,0.69,-0.05
HU Aqr AB b,HU Aqr,2,2,Eclipse Timing Variations,2011,2390.0,3.600000,12.8,1875.19700,0.000000,,,5952.00,,0.88,0
HU Aqr AB c,HU Aqr,2,2,Eclipse Timing Variations,2011,4368.0,5.400000,12.9,1430.23500,0.510000,,,5952.00,,0.88,0
IC 4651 9122 b,IC 4651 9122,1,1,Radial Velocity,2018,0.0,<a refstr=LE_ATILDE_O_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.139L/abstract target=ref>Le&atildeo et al. 2018</a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,#¡VALOR!
IRAS 04125+2902 b,IRAS 04125+2902,2,1,Transit,2024,8.834978,0.077000,10738,80.80000,,854,,4080.00,1.45,0.70,0
ITG 15 b,ITG 15 A,2,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,,,0
K2-10 b,K2-10,1,1,Transit,2015,19.3044,0.137000,3.84,27.00000,0.310000,703,F9,5620.00,0.98,0.92,-0.07
K2-100 b,K2-100,1,1,Transit,2016,1.6739035,0.030100,3.88,21.80000,0.000000,1841,G0 V,5945.00,1.24,1.15,0.22
K2-101 b,K2-101,1,1,Transit,2016,14.6762429,0.112400,2,4.66000,0.100000,618,K3,4927.00,0.76,0.82,0.07
K2-102 b,K2-102,1,1,Transit,2016,9.915615,,1.3,2.24000,0.100000,,K5,4695.00,0.71,0.77,0.14
K2-104 b,K2-104,1,1,Transit,2016,1.9741954,0.024200,1.79,3.86000,0.090000,798,M2.5e,3712.00,0.48,0.51,0.18
K2-105 b,K2-105,1,1,Transit,2017,8.2669928,0.083300,3.59,30.00000,0.000000,928,K1,5475.00,0.97,1.05,0.23
K2-107 b,K2-107,1,1,Transit,2017,0.0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,#¡VALOR!,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uumlller et al. 2017</a>,,,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uumlller et al. 2017</a>,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,#¡VALOR!
K2-108 b,K2-108,1,1,Transit,2017,4.733999,0.058100,5.33,59.40000,0.180000,1360,,5599.00,1.76,1.17,0.36
K2-11 b,K2-11,1,1,Transit,2015,39.93767,0.225700,7.55,44.40000,,734,G8,5433.00,5.15,1.35,-0.12
K2-110 b,K2-110,1,1,Transit,2017,13.86375,0.102070,2592,15.90000,0.130000,638,K3 V,5010.00,0.71,0.74,-0.34
K2-111 b,K2-111,1,2,Transit,2017,5.3518,0.056500,1.82,5.58000,0.100000,1309,G2,5775.00,1.25,0.84,-0.46
K2-111 c,K2-111,1,2,Radial Velocity,2020,15.6805,0.115690,3.33,11.08000,0.071000,,G2,5775.00,1.25,0.84,-0.46
K2-113 b,K2-113,1,1,Transit,2017,5.817685,0.064200,12.14,410.00070,0.000000,1098,G,5660.00,1.24,1.04,0.27
K2-114 b,K2-114,1,1,Transit,2017,11.390931,0.094400,10592,638.83510,0.079000,701,,5039.00,0.87,0.83,0.42
K2-115 b,K2-115,1,1,Transit,2017,20.2729914,0.141500,11803,321.00669,0.063000,696,,5560.00,0.88,0.95,-198
K2-116 b,K2-116,1,1,Transit,2017,4.655411,0.048000,0.69,0.25700,0.060000,,,4348.35,0.67,0.69,0.01
K2-117 b,K2-117,1,2,Transit,2017,1.2916,0.018900,2.03,4.78000,0.060000,868,M1.0 V,3778.00,0.51,0.54,-0.05
K2-117 c,K2-117,1,2,Transit,2017,5.444017,0.049200,2.06,4.90000,0.150000,537,M1.0 V,3778.00,0.51,0.54,-0.05
K2-118 b,K2-118,1,1,Transit,2017,50.92092,0.245000,2.54,6.99000,0.200000,,,4726.29,0.73,0.76,129
K2-119 b,K2-119,1,1,Transit,2017,7.727283,0.069800,2.53,6.94000,0.070000,666,,4740.00,0.71,0.76,-0.05
K2-12 b,K2-12,1,1,Transit,2015,8.28246,0.079200,2.44,5.20000,0.500000,1026,F9,5672.00,1.12,0.97,0
K2-121 b,K2-121,1,1,Transit,2017,5.1857539,0.062900,7.52,44.10000,0.220000,738,,4690.00,0.67,0.69,-0.16
K2-122 b,K2-122,2,1,Transit,2017,2.2193023,0.037300,1.16,1.65000,0.210000,769,M0,4009.00,0.59,0.63,0.32
K2-123 b,K2-123,1,1,Transit,2017,30.951524,0.164900,2.76,8.05000,0.060000,338,,4035.00,0.59,0.62,0.03
K2-124 b,K2-124,1,1,Transit,2017,6.413651,0.049000,2.9,8.75000,0.080000,442,,3570.00,0.39,0.39,23
K2-125 b,K2-125,1,1,Transit,2017,21.750264,0.121000,2.18,5.39000,0.080000,,,3654.47,0.40,0.49,0
K2-126 b,K2-126,1,1,Transit,2017,7.385655,0.065600,1.97,4.54000,0.060000,601,,4339.00,0.65,0.69,0.02
K2-127 b,K2-127,1,1,Transit,2017,3.588163,0.041100,8.37,52.90000,0.120000,809,,4575.00,0.66,0.72,-0.11
K2-128 b,K2-128,1,1,Transit,2017,5.675819,0.056000,1.42,2.60000,0.230000,,,4469.51,0.78,0.71,-0.26
K2-129 b,K2-129,1,1,Transit,2017,8.239493,0.057000,1.04,1.12000,0.130000,,,3459.09,0.36,0.36,0
K2-13 b,K2-13,1,1,Transit,2015,39.91488,0.211400,1.89,4.23000,,511,G3,5698.00,0.78,0.80,-0.54
K2-130 b,K2-130,1,1,Transit,2017,2.49412,0.032000,1.25,2.10000,0.170000,,,4356.47,0.74,0.70,-0.24
K2-131 b,K2-131,1,1,Transit,2017,0.3693038,0.009360,1.69,7.90000,0.000000,2223,,5120.00,0.76,0.80,-0.04
K2-132 b,K2-132,1,1,Transit,2017,9.1751,0.091600,14572,155.73670,0.290000,1586,,4840.00,3.85,1.08,-0.01
K2-133 b,K2-133,1,4,Transit,2017,3.07133,0.031940,1.34,2.36000,,,M1.5 V,3655.00,0.46,0.46,0
K2-133 c,K2-133,1,4,Transit,2017,4.86784,0.043410,1603,3.20000,,,M1.5 V,3655.00,0.46,0.46,0
K2-133 d,K2-133,1,4,Transit,2017,11.02454,0.074870,2003,4.67000,,734,M1.5 V,3655.00,0.46,0.46,0
K2-133 e,K2-133,1,4,Transit,2019,26.5841,0.134600,1.73,3.64000,,296,M1.5 V,3655.00,0.46,0.46,0
K2-136 b,K2-136,2,3,Transit,2017,7.9752,0.070700,1014,4.30000,0.140000,610,K5.5,4500.00,0.68,0.74,-0.02
K2-136 c,K2-136,2,3,Transit,2017,17.30713,0.118500,3,18.10000,0.047000,470,K5.5,4500.00,0.68,0.74,-0.02
K2-136 d,K2-136,2,3,Transit,2017,25.575,0.153800,1565,3.00000,0.071000,420,K5.5,4500.00,0.68,0.74,-0.02
K2-137 b,K2-137,1,1,Transit,2017,0.179719,0.005800,0.64,158.91500,0.000000,1471,M3 V,3697.00,0.29,0.46,-59
K2-138 b,K2-138,1,6,Transit,2017,2.35309,0.033850,1.51,3.10000,0.048000,1157,G8 V,5356.30,0.86,0.94,0.14
K2-138 c,K2-138,1,6,Transit,2017,3.56004,0.044610,2299,6.31000,0.045000,1012,G8 V,5356.30,0.86,0.94,0.14
K2-138 d,K2-138,1,6,Transit,2017,5.40479,0.058930,2.39,7.92000,0.043000,888,G8 V,5356.30,0.86,0.94,0.14
K2-138 e,K2-138,1,6,Transit,2017,8.26146,0.078200,3.39,12.97000,0.077000,757,G8 V,5356.30,0.86,0.94,0.14
K2-138 f,K2-138,1,6,Transit,2017,12.75758,0.104470,2904,1.63000,0.062000,653,G8 V,5356.30,0.86,0.94,0.14
K2-138 g,K2-138,1,6,Transit,2021,41.96797,0.231090,3013,4.32000,0.059000,445,G8 V,5356.30,0.86,0.94,0.14
K2-139 b,K2-139,1,1,Transit,2017,0.0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,#¡VALOR!,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=BARRAG_AACUTE_N_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.1765B/abstract target=ref>Barrag&aacuten et al. 2018</a>,,,<a refstr=BARRAG_AACUTE_N_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.1765B/abstract target=ref>Barrag&aacuten et al. 2018</a>,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,#¡VALOR!
K2-14 b,K2-14,1,1,Transit,2015,8.36802,0.062700,4.81,20.70000,0.140000,488,M0,3789.00,0.45,0.47,-0.37
K2-140 b,K2-140,1,1,Transit,2017,6.569188,0.068000,13563,295.58042,0.000000,962,G6 V,5585.00,1.06,0.96,0.1
K2-141 b,K2-141,1,2,Transit,2018,0.2803244,0.007470,1.51,4.97000,0.000000,2103,K7 V,4570.00,0.68,0.71,0
K2-141 c,K2-141,1,2,Transit,2018,7.7485,0.068300,7,8.00000,0.092000,695,K7 V,4570.00,0.68,0.71,0
K2-146 b,K2-146,1,2,Transit,2018,2.6446,0.024800,2.05,5.77000,0.129000,534,M3.0 V,3385.00,0.33,0.33,-0.02
K2-146 c,K2-146,1,2,Transit,2019,4.00498,0.032700,2.19,7.49000,0.075000,,M3.0 V,3385.00,0.33,0.33,-0.02
K2-147 b,K2-147,1,1,Transit,2018,0.961939,0.015750,1473,2.77000,0.380000,1077,,3672.00,0.57,0.57,-0.02
K2-148 b,K2-148,2,3,Transit,2018,4.38395,0.045400,1.33,2.33000,,,,4079.00,0.63,0.65,-0.11
K2-148 c,K2-148,2,3,Transit,2018,6.9226,0.061600,1.73,3.64000,,,,4079.00,0.63,0.65,-0.11
K2-148 d,K2-148,2,3,Transit,2018,9.7579,0.077400,1.64,3.33000,,,,4079.00,0.63,0.65,-0.11
K2-149 b,K2-149,1,1,Transit,2018,11.332,0.083000,1.64,3.33000,,,M1.0 V,3745.00,0.57,0.59,0.11
K2-15 b,K2-15,1,1,Transit,2015,11.8104,0.091000,2.48,6.71000,,676,G8,5131.00,0.68,0.72,-0.46
K2-150 b,K2-150,1,1,Transit,2018,10.59357,0.072700,2,4.66000,,,M2.5 V,3499.00,0.44,0.46,0.09
K2-151 b,K2-151,2,1,Transit,2018,3.835476,0.037300,1.49,2.83000,,566,M1.5 V,3695.00,0.45,0.47,-0.19
K2-152 b,K2-152,1,1,Transit,2018,32.6479,0.171600,2.29,5.86000,,337,M0.0 V,4044.00,0.61,0.63,0.12
K2-153 b,K2-153,1,1,Transit,2018,7.51574,0.061400,2,4.66000,,497,M3.0 V,3845.00,0.53,0.55,-0.09
K2-154 b,K2-154,1,2,Transit,2018,3.67626,0.040500,1.99,4.62000,,715,M0.0 V,4097.00,0.63,0.65,0.21
K2-154 c,K2-154,1,2,Transit,2018,7.95486,0.067700,2.07,4.94000,,552,M0.0 V,4097.00,0.63,0.65,0.21
K2-155 b,K2-155,1,3,Transit,2018,6.342,0.056200,1.8,3.89000,,708,K7,3919.00,0.58,0.65,-0.3
K2-155 c,K2-155,1,3,Transit,2018,13.85,0.094600,2.6,7.27000,,583,K7,3919.00,0.58,0.65,-0.3
K2-155 d,K2-155,1,3,Transit,2018,40.718,0.193700,1.9,4.27000,,381,K7,3919.00,0.58,0.65,-0.3
K2-156 b,K2-156,1,1,Transit,2018,0.813143,0.014900,1.1,1.37000,,1347,,4460.00,0.62,0.66,-0.33
K2-157 b,K2-157,1,1,Transit,2018,0.365261,,1,0.97200,,,,5456.00,0.88,0.94,0.13
K2-158 b,K2-158,1,2,Transit,2018,10.06049,0.088700,2.64,7.46000,,794,,5503.00,0.95,0.92,0.07
K2-158 c,K2-158,1,2,Transit,2018,5.90279,0.062200,1.28,2.18000,,948,,5503.00,0.95,0.92,0.07
K2-159 b,K2-159,1,1,Transit,2018,12.42205,0.101300,2.26,5.73000,,684,,5425.00,0.83,0.90,-0.07
K2-16 b,K2-16,1,3,Transit,2015,7.6188,0.066700,2.02,4.74000,,658,K3 V,4742.00,0.66,0.68,-0.33
K2-16 c,K2-16,1,3,Transit,2015,19.07863,0.122900,2.54,6.99000,,485,K3 V,4742.00,0.66,0.68,-0.33
K2-160 b,K2-160,1,1,Transit,2018,3.705871,,3178,10.20000,,,,5649.00,0.91,0.98,0.07
K2-161 b,K2-161,1,1,Transit,2018,9.283188,,6117,31.10000,,,,4972.00,2.57,0.99,-0.03
K2-162 b,K2-162,1,1,Transit,2018,9.45889,0.079500,1.44,2.67000,,631,,4842.00,0.69,0.75,-0.17
K2-163 b,K2-163,1,1,Transit,2018,6.673117,,2466,6.65000,,,,4937.00,0.76,0.83,0.14
K2-164 b,K2-164,1,1,Transit,2018,17.355066,,3249,10.60000,,,,5791.00,2.20,1.18,-0.23
K2-165 b,K2-165,1,3,Transit,2018,2.354992,,1274,2.17000,,,,5185.00,0.80,0.83,-0.05
K2-165 c,K2-165,1,3,Transit,2018,4.382745,,1554,3.03000,,,,5185.00,0.80,0.83,-0.05
K2-165 d,K2-165,1,3,Transit,2018,14.101361,,2648,7.50000,,629,,5185.00,0.80,0.83,-0.05
K2-166 b,K2-166,1,2,Transit,2018,8.52695,0.085800,2.19,5.43000,,1140,,5960.00,1.61,1.16,0.09
K2-167 b,K2-167,1,1,Transit,2018,9.978541,0.093200,2365,6.50000,0.480000,1220,,5908.00,1.49,1.34,-456
K2-168 b,K2-168,1,2,Transit,2018,15.8523,,1.86,4.12000,,766,,5502.70,0.83,0.88,-0.13
K2-169 b,K2-169,1,1,Transit,2018,6.380803,,1273,2.16000,,,,5548.00,0.92,0.99,0.26
K2-17 b,K2-17,1,1,Transit,2015,17.96753,0.119000,2.23,5.60000,0.180000,487,K7,4320.00,0.66,0.71,0.15
K2-170 b,K2-170,1,2,Transit,2018,7.576544,,1418,2.60000,,,,5748.00,0.98,0.96,-0.11
K2-170 c,K2-170,1,2,Transit,2018,12.400047,,1802,3.90000,,,,5748.00,0.98,0.96,-0.11
K2-171 b,K2-171,1,1,Transit,2018,5.628466,,2687,7.69000,,,,5250.00,1.72,0.89,-0.09
K2-172 b,K2-172,1,2,Transit,2018,14.316941,,1666,3.42000,,,,5569.00,0.87,0.93,-0.06
K2-172 c,K2-172,1,2,Transit,2018,29.62682,,3206,10.40000,,,,5569.00,0.87,0.93,-0.06
K2-173 b,K2-173,1,1,Transit,2018,5.868699,,1608,3.22000,,,,5580.00,0.84,0.88,-0.25
K2-174 b,K2-174,1,1,Transit,2018,19.562307,0.126000,2.6,7.27000,,455,,4455.00,0.68,0.67,113
K2-175 b,K2-175,1,1,Transit,2018,9.525988,,2038,4.81000,,,,5909.00,1.42,1.09,0.05
K2-176 b,K2-176,1,1,Transit,2018,5.329439,,1491,2.83000,,,,5428.00,0.86,0.94,0.15
K2-177 b,K2-177,1,1,Transit,2018,14.155185,,2116,5.13000,,,,6063.00,1.21,1.21,0.41
K2-178 b,K2-178,1,1,Transit,2018,8.747818,,3558,12.40000,,840,,5525.00,0.89,0.95,0.09
K2-179 b,K2-179,1,1,Transit,2018,5.172191,,2513,6.86000,,,,5015.00,0.77,0.82,0.03
K2-18 b,K2-18,1,2,Transit,2015,32.939623,0.142900,2.37,8.92000,0.200000,284,M2.5 V,3457.00,0.44,0.50,0.12
K2-18 c,K2-18,1,2,Radial Velocity,2017,8.962,0.060000,2.65,7.51000,0.470000,363,M2.5 V,3457.00,0.44,0.50,0.09
K2-180 b,K2-180,1,1,Transit,2018,8.865663,0.075600,2466,11.41004,0.075000,798,,5375.50,0.69,0.73,-578
K2-181 b,K2-181,1,1,Transit,2018,6.893813,0.071400,2836,8.43000,0.400000,1015,,5609.00,1.07,1.04,385
K2-182 b,K2-182,1,1,Transit,2018,4.7369696,0.051740,2713,20.97667,0.071000,966,,5181.00,0.80,0.86,22
K2-183 b,K2-183,1,3,Transit,2018,0.469285,,1.1,1.37000,,,,5482.00,0.87,0.94,0.09
K2-183 c,K2-183,1,3,Transit,2018,10.787992,0.093200,2.3,5.90000,,787,,5482.00,0.87,0.94,0.09
K2-183 d,K2-183,1,3,Transit,2018,22.620344,0.152700,2.3,5.90000,,615,,5482.00,0.87,0.94,0.09
K2-184 b,K2-184,1,1,Transit,2018,16.9780102,0.168500,1.47,2.76000,,533,,5245.00,0.75,0.84,-0.1
K2-185 b,K2-185,1,2,Transit,2018,10.616384,,1.15,1.60000,,809,,5788.00,0.94,0.96,-0.1
K2-185 c,K2-185,1,2,Transit,2018,52.713494,,2.39,6.30000,,477,,5788.00,0.94,0.96,-0.1
K2-186 b,K2-186,1,1,Transit,2018,41.474219,,3172,10.20000,,,,5784.00,0.98,1.02,0.06
K2-187 b,K2-187,1,4,Transit,2018,0.77401,0.016400,1.2,1.87000,,1815,,5438.00,0.83,0.97,0
K2-187 c,K2-187,1,4,Transit,2018,2.871512,0.039200,1.4,2.54000,,1173,,5438.00,0.83,0.97,0
K2-187 d,K2-187,1,4,Transit,2018,7.149584,0.072000,2.4,6.35000,,865,,5438.00,0.83,0.97,0
K2-187 e,K2-187,1,4,Transit,2018,13.606629,0.110600,1.9,4.27000,,698,,5438.00,0.83,0.97,0
K2-188 b,K2-188,1,2,Transit,2018,1.742169,0.028900,1.35,2.39000,,1692,,5977.00,1.19,1.06,-0.01
K2-188 c,K2-188,1,2,Transit,2018,7.810253,0.078500,2.83,8.40000,,1026,,5977.00,1.19,1.06,-0.01
K2-189 b,K2-189,1,2,Transit,2018,2.588309,0.036100,1.52,2.92000,,1197,,5519.00,0.87,0.94,0
K2-189 c,K2-189,1,2,Transit,2018,6.679195,0.068000,2.5,6.80000,,872,,5519.00,0.87,0.94,0
K2-19 b,K2-19,1,3,Transit,2015,7.9222,0.074000,7,32.40000,0.200000,854,G9 V,5322.00,0.82,0.88,0.06
K2-19 c,K2-19,1,3,Transit,2015,11.8993,0.097100,4.1,10.80000,0.210000,745,G9 V,5322.00,0.82,0.88,0.06
K2-19 d,K2-19,1,3,Transit,2016,2.5081,0.034400,1.11,10.00000,0.000000,1252,G9 V,5322.00,0.82,0.88,0.06
K2-190 b,K2-190,1,2,Transit,2018,10.098858,,1357,2.41000,,,,5631.00,0.91,0.90,-0.19
K2-190 c,K2-190,1,2,Transit,2018,21.574023,,1093,1.34000,,,,5631.00,0.91,0.90,-0.19
K2-191 b,K2-191,1,1,Transit,2018,2.858646,,1579,3.12000,,,,5176.00,0.84,0.90,0.31
K2-192 b,K2-192,1,1,Transit,2018,4.162817,0.049000,1.52,2.92000,,939,,5222.00,0.81,0.90,0.15
K2-193 b,K2-193,1,1,Transit,2018,14.786889,0.118400,3.95,14.80000,,739,,5817.00,0.98,1.01,0
K2-194 b,K2-194,1,1,Transit,2018,39.721386,,3642,12.90000,,,,5979.00,1.28,1.11,0.1
K2-195 b,K2-195,1,2,Transit,2018,15.852975,0.120800,3.13,9.96000,,720,,5713.00,0.99,0.94,-0.1
K2-195 c,K2-195,1,2,Transit,2018,28.482786,,2576,7.16000,,,,5712.00,0.91,0.96,-0.09
K2-196 b,K2-196,1,1,Transit,2018,48.324222,,3.6,12.60000,,,,6045.00,1.54,1.16,0.01
K2-197 b,K2-197,1,1,Transit,2018,8.357881,0.080600,2.56,7.08000,,848,,5667.00,0.93,1.00,0.08
K2-198 b,K2-198,1,3,Transit,2018,17.0428683,,4189,16.30000,,716,,5212.90,0.76,0.80,94
K2-198 c,K2-198,1,3,Transit,2019,3.3596055,,1423,2.61000,,1230,,5212.90,0.76,0.80,94
K2-198 d,K2-198,1,3,Transit,2019,7.4500177,,2438,6.52000,,943,,5212.90,0.76,0.80,94
K2-199 b,K2-199,1,2,Transit,2018,3.2253993,0.038200,1.73,6.90000,0.020000,913,,4491.00,0.68,0.71,-0.01
K2-199 c,K2-199,1,2,Transit,2018,7.3744897,0.066200,2.85,12.40000,0.030000,694,,4491.00,0.68,0.71,-0.01
K2-200 b,K2-200,1,1,Transit,2018,2.849883,,1364,2.43000,,,,5233.00,0.79,0.86,-0.04
K2-201 b,K2-201,1,2,Transit,2018,1.05979,,1.4,2.54000,,,,5507.00,0.88,0.96,0.13
K2-201 c,K2-201,1,2,Transit,2018,22.779878,,3286,10.80000,,,,5507.00,0.88,0.96,0.13
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,1,1,Microlensing,2023,4700.0,4.160000,13.7,349.61125,,,,,,0.58,0
K2-202 b,K2-202,1,1,Transit,2018,3.405164,,2302,5.91000,,,,5491.00,0.91,0.97,0.27
K2-203 b,K2-203,1,1,Transit,2018,9.6952,0.082400,1265,2.14000,0.230000,738,,5000.00,0.77,0.79,-21
K2-204 b,K2-204,1,1,Transit,2018,7.055908,0.073800,3172,10.20000,0.280000,1148,,5755.00,1.25,1.01,0.21
K2-205 b,K2-205,1,1,Transit,2018,26.672263,,1996,4.64000,,,,5890.00,1.08,0.95,-0.26
K2-206 b,K2-206,1,1,Transit,2018,18.294549,,2795,8.22000,,,,5043.00,0.76,0.79,-0.14
K2-207 b,K2-207,1,1,Transit,2018,12.48749,,2606,7.30000,,,,5522.00,0.93,0.94,0.11
K2-208 b,K2-208,1,1,Transit,2018,4.19097,0.048780,1675,3.45000,0.370000,1122,,5582.00,0.87,0.93,-64
K2-209 b,K2-209,1,1,Transit,2018,2.080615,,869,0.58600,,,,4720.00,0.71,0.74,-0.06
K2-21 b,K2-21,1,2,Transit,2015,9.325038,0.076000,1.84,4.04000,0.100000,500,M0.0,4222.06,0.65,0.68,-0.11
K2-21 c,K2-21,1,2,Transit,2015,15.50192,0.107000,2.49,6.76000,0.210000,420,M0.0,4222.06,0.65,0.68,-0.11
K2-210 b,K2-210,1,1,Transit,2018,0.57023,,0.86,0.56600,,,,5500.00,0.89,0.91,0
K2-211 b,K2-211,1,1,Transit,2018,0.669561,0.014190,1332,2.33000,0.190000,1873,,5221.00,0.82,0.88,134
K2-212 b,K2-212,1,1,Transit,2018,9.795647,0.078500,2.65,7.51000,,542,,4272.00,0.65,0.62,0.03
K2-213 b,K2-213,1,1,Transit,2018,8.13087,,1514,2.90000,,,,5794.00,1.20,1.07,0.25
K2-214 b,K2-214,1,1,Transit,2018,8.596802,0.083400,2.43,6.48000,,1006,,5854.00,1.27,1.05,0.05
K2-215 b,K2-215,1,1,Transit,2018,8.269648,,2124,5.16000,,,,5704.00,0.97,1.00,0.11
K2-216 b,K2-216,1,1,Transit,2018,2.1748,0.028000,1.75,8.00000,0.000000,1103,K5 V,4503.00,0.72,0.70,0
K2-217 b,K2-217,1,1,Transit,2018,14.074524,,3579,12.50000,,,,5967.00,1.33,1.10,0.04
K2-218 b,K2-218,1,1,Transit,2018,8.679885,,2569,7.13000,,,,5757.00,1.01,1.05,0.25
K2-219 b,K2-219,1,3,Transit,2018,3.901287,,1348,2.38000,,,,5753.00,1.19,1.02,0.13
K2-219 c,K2-219,1,3,Transit,2018,6.66767,,1438,2.66000,,,,5753.00,1.19,1.02,0.13
K2-219 d,K2-219,1,3,Transit,2018,11.137278,,2576,7.16000,,,,5753.00,1.19,1.02,0.13
K2-22 b,K2-22,2,1,Transit,2015,0.381073,0.009000,2.3,444.96200,0.190000,2100,M0 V,3879.00,0.58,0.60,32
K2-220 b,K2-220,1,1,Transit,2018,13.683256,0.110400,2.39,6.30000,,758,,5660.00,1.02,0.96,0.04
K2-221 b,K2-221,1,1,Transit,2018,2.399094,,1679,3.46000,,,,5716.00,0.95,1.01,0.13
K2-222 b,K2-222,1,1,Transit,2018,15.38857,0.120600,2.35,8.70000,0.160000,871,,5902.70,1.12,0.95,-315
K2-223 b,K2-223,1,2,Transit,2018,0.50557,0.012700,0.89,0.64000,,2271,,5859.00,1.00,1.06,0.19
K2-223 c,K2-223,1,2,Transit,2018,4.562546,0.054900,1.5,2.86000,,1091,,5859.00,1.00,1.06,0.19
K2-224 b,K2-224,1,2,Transit,2018,4.47904,0.051600,1.56,3.05000,,1002,,5620.00,0.84,0.91,-0.19
K2-224 c,K2-224,1,2,Transit,2018,10.09489,0.088600,2.41,6.39000,,764,,5620.00,0.84,0.91,-0.19
K2-225 b,K2-225,1,1,Transit,2018,15.8723,0.140900,3609,12.70000,0.230000,923,,5742.00,1.70,1.27,486
K2-226 b,K2-226,1,1,Transit,2018,3.27109,0.040950,1539,2.98000,0.220000,1187,,5424.00,0.91,0.89,-0.05
K2-227 b,K2-227,1,1,Transit,2018,13.621832,,1666,3.41000,,,,5673.00,0.89,0.95,-0.1
K2-228 b,K2-228,1,1,Transit,2018,2.69828,0.033800,1.21,1.92000,,914,,4715.00,0.65,0.71,-0.25
K2-229 b,K2-229,1,2,Transit,2018,0.584216,0.013100,1,2.49000,0.000000,1818,G9,5315.00,0.79,0.87,-0.09
